time,open,high,low,close,Volume
2024-04-19T16:25:00+02:00,4994.83,4999.09,4990.95,4999.09,NaN
2024-04-19T16:30:00+02:00,4999.05,5003.86,4997,4999.42,NaN
2024-04-19T16:35:00+02:00,4999.21,4999.21,4991.55,4991.92,NaN
2024-04-19T16:40:00+02:00,4991.97,5001.67,4991.8,5001.57,NaN
2024-04-19T16:45:00+02:00,5001.57,5006.46,5001.09,5003.31,NaN
2024-04-19T16:50:00+02:00,5003.26,5007.38,5001.45,5005.49,NaN
2024-04-19T16:55:00+02:00,5005.55,5006.23,4999.24,5000.73,NaN
2024-04-19T17:00:00+02:00,5000.67,5000.67,4994.22,4995.51,NaN
2024-04-19T17:05:00+02:00,4995.57,5002.85,4995.01,5002.78,NaN
2024-04-19T17:10:00+02:00,5002.78,5004.1,4998.83,4999.69,NaN
2024-04-19T17:15:00+02:00,4999.92,5000.68,4994.31,4994.58,NaN
2024-04-19T17:20:00+02:00,4994.54,4995.51,4991.92,4991.92,NaN
2024-04-19T17:25:00+02:00,4992.03,4993.71,4991.02,4993.56,NaN
2024-04-19T17:30:00+02:00,4993.63,4995.53,4990.56,4990.97,NaN
2024-04-19T17:35:00+02:00,4990.92,4994.38,4988.4,4994.38,NaN
2024-04-19T17:40:00+02:00,4994.29,4996.52,4991.61,4994.13,NaN
2024-04-19T17:45:00+02:00,4994.13,4997.56,4993.89,4994.86,NaN
2024-04-19T17:50:00+02:00,4994.82,4996.38,4990.96,4991.09,NaN
2024-04-19T17:55:00+02:00,4991.06,4992.04,4985.59,4986.2,NaN
2024-04-19T18:00:00+02:00,4986.2,4992.27,4985.04,4985.44,NaN
2024-04-19T18:05:00+02:00,4985.47,4986.26,4980.73,4983.76,NaN
2024-04-19T18:10:00+02:00,4983.75,4984.01,4972.5,4972.69,NaN
2024-04-19T18:15:00+02:00,4972.8,4974.87,4970.64,4970.85,NaN
2024-04-19T18:20:00+02:00,4970.59,4973.75,4969.58,4969.76,NaN
2024-04-19T18:25:00+02:00,4969.75,4972.65,4967.22,4967.22,NaN
2024-04-19T18:30:00+02:00,4967.31,4970.7,4966.9,4970.55,NaN
2024-04-19T18:35:00+02:00,4970.76,4971.38,4966.91,4966.91,NaN
2024-04-19T18:40:00+02:00,4966.81,4975.16,4966.04,4974.7,NaN
2024-04-19T18:45:00+02:00,4974.78,4978.61,4973.97,4975.65,NaN
2024-04-19T18:50:00+02:00,4975.83,4986.45,4975.83,4980.23,NaN
2024-04-19T18:55:00+02:00,4980.16,4985.73,4980.16,4985.68,NaN
2024-04-19T19:00:00+02:00,4985.68,4989.26,4984.35,4987.51,NaN
2024-04-19T19:05:00+02:00,4987.44,4989.33,4985.63,4988.88,NaN
