,time,open,high,low,close
1509,2024-10-01 17:00:00+00:00,5704.99,5714.25,5683.93,5714.25
1510,2024-10-01 18:00:00+00:00,5714.29,5730.36,5714.06,5725.64
1511,2024-10-01 19:00:00+00:00,5725.54,5725.88,5706.45,5708.41
1512,2024-10-01 20:00:00+00:00,5708.84,5708.84,5708.69,5708.74
1513,2024-10-02 13:00:00+00:00,5697.12,5697.74,5673.99,5692.41
1514,2024-10-02 14:00:00+00:00,5693.39,5716.93,5690.77,5704.41
1515,2024-10-02 15:00:00+00:00,5704.56,5719.64,5703.05,5715.99
1516,2024-10-02 16:00:00+00:00,5716.18,5718.71,5700.22,5700.36
1517,2024-10-02 17:00:00+00:00,5700.31,5711.89,5697.4,5711.57
1518,2024-10-02 18:00:00+00:00,5711.5,5714.14,5699.54,5710.04
1519,2024-10-02 19:00:00+00:00,5709.99,5715.49,5708.83,5709.19
1520,2024-10-02 20:00:00+00:00,5709.43,5709.56,5709.43,5709.55
1521,2024-10-03 13:00:00+00:00,5695.38,5703.64,5689.61,5699.98
1522,2024-10-03 14:00:00+00:00,5702.42,5718.79,5685.29,5688.26
1523,2024-10-03 15:00:00+00:00,5688.24,5710.39,5684.24,5705.93
1524,2024-10-03 16:00:00+00:00,5705.84,5712.12,5680.52,5685.08
1525,2024-10-03 17:00:00+00:00,5685.11,5694.4,5677.36,5691.74
1526,2024-10-03 18:00:00+00:00,5691.84,5694.88,5687.06,5688.88
1527,2024-10-03 19:00:00+00:00,5688.89,5703.29,5682.17,5700.62
1528,2024-10-03 20:00:00+00:00,5699.8,5699.99,5699.8,5699.95
1529,2024-10-04 13:00:00+00:00,5743.38,5746.01,5719.71,5720.72
1530,2024-10-04 14:00:00+00:00,5721.08,5730.93,5702.83,5720.54
1531,2024-10-04 15:00:00+00:00,5720.53,5726.81,5703.35,5724.46
1532,2024-10-04 16:00:00+00:00,5725.13,5734.65,5715.2,5730.26
1533,2024-10-04 17:00:00+00:00,5730.29,5735.3,5717.28,5722.37
1534,2024-10-04 18:00:00+00:00,5722.43,5734.88,5717.79,5734.71
1535,2024-10-04 19:00:00+00:00,5734.75,5753.22,5731.41,5749.62
1536,2024-10-04 20:00:00+00:00,5750.54,5751.06,5750.47,5751.06
1537,2024-10-07 13:00:00+00:00,5733.73,5737.56,5725.3,5728.02
1538,2024-10-07 14:00:00+00:00,5728.41,5739.35,5727.96,5733.28
1539,2024-10-07 15:00:00+00:00,5733.2,5738.6,5726.85,5732.05
1540,2024-10-07 16:00:00+00:00,5732.0,5732.02,5722.26,5726.48
1541,2024-10-07 17:00:00+00:00,5726.46,5730.02,5718.98,5724.57
1542,2024-10-07 18:00:00+00:00,5724.64,5724.77,5687.06,5687.38
1543,2024-10-07 19:00:00+00:00,5687.67,5706.21,5687.12,5695.05
1544,2024-10-07 20:00:00+00:00,5696.99,5696.99,5695.93,5695.93
1545,2024-10-08 13:00:00+00:00,5721.99,5727.71,5714.55,5726.98
1546,2024-10-08 14:00:00+00:00,5727.27,5745.09,5724.06,5738.95
1547,2024-10-08 15:00:00+00:00,5738.61,5743.28,5733.5,5742.48
1548,2024-10-08 16:00:00+00:00,5742.38,5743.15,5734.56,5738.72
1549,2024-10-08 17:00:00+00:00,5738.58,5739.7,5726.57,5737.4
1550,2024-10-08 18:00:00+00:00,5737.39,5748.83,5737.35,5747.53
1551,2024-10-08 19:00:00+00:00,5747.56,5757.59,5744.05,5750.68
1552,2024-10-08 20:00:00+00:00,5751.33,5751.33,5751.12,5751.14
1553,2024-10-09 13:00:00+00:00,5751.79,5756.61,5745.01,5754.61
1554,2024-10-09 14:00:00+00:00,5754.78,5769.25,5754.22,5769.09
1555,2024-10-09 15:00:00+00:00,5769.09,5790.44,5769.09,5789.15
1556,2024-10-09 16:00:00+00:00,5789.0,5789.07,5776.24,5778.83
1557,2024-10-09 17:00:00+00:00,5778.88,5786.0,5771.14,5777.87
1558,2024-10-09 18:00:00+00:00,5777.86,5785.24,5775.16,5781.96
1559,2024-10-09 19:00:00+00:00,5781.97,5796.79,5778.02,5791.98
1560,2024-10-09 20:00:00+00:00,5791.59,5792.05,5791.59,5792.05
1561,2024-10-10 13:00:00+00:00,5778.35,5782.3,5765.4,5774.2
1562,2024-10-10 14:00:00+00:00,5774.48,5785.99,5771.21,5773.5
1563,2024-10-10 15:00:00+00:00,5773.51,5789.01,5771.05,5788.97
1564,2024-10-10 16:00:00+00:00,5789.02,5795.02,5778.03,5781.3
1565,2024-10-10 17:00:00+00:00,5781.29,5785.45,5768.09,5780.97
1566,2024-10-10 18:00:00+00:00,5780.93,5780.97,5764.77,5772.11
1567,2024-10-10 19:00:00+00:00,5772.08,5784.01,5767.92,5780.53
1568,2024-10-10 20:00:00+00:00,5780.1,5780.16,5780.02,5780.04
1569,2024-10-11 13:00:00+00:00,5775.08,5794.79,5775.08,5793.97
1570,2024-10-11 14:00:00+00:00,5794.09,5819.46,5790.02,5810.58
1571,2024-10-11 15:00:00+00:00,5810.56,5816.67,5809.68,5815.68
1572,2024-10-11 16:00:00+00:00,5815.62,5815.65,5800.72,5807.86
1573,2024-10-11 17:00:00+00:00,5807.81,5812.72,5803.31,5810.46
1574,2024-10-11 18:00:00+00:00,5810.41,5817.9,5807.92,5816.16
1575,2024-10-11 19:00:00+00:00,5816.23,5822.14,5814.67,5814.9
1576,2024-10-11 20:00:00+00:00,5814.77,5815.05,5814.77,5815.04
1577,2024-10-14 13:00:00+00:00,5829.8,5852.53,5829.58,5852.33
1578,2024-10-14 14:00:00+00:00,5853.03,5857.01,5845.76,5847.87
1579,2024-10-14 15:00:00+00:00,5847.76,5854.02,5843.29,5853.84
1580,2024-10-14 16:00:00+00:00,5853.89,5859.23,5853.44,5857.43
1581,2024-10-14 17:00:00+00:00,5857.47,5860.32,5854.77,5855.31
1582,2024-10-14 18:00:00+00:00,5855.38,5865.4,5853.05,5861.69
1583,2024-10-14 19:00:00+00:00,5861.73,5871.42,5859.47,5860.71
1584,2024-10-14 20:00:00+00:00,5861.51,5862.1,5859.86,5859.86
1585,2024-10-15 13:00:00+00:00,5866.73,5870.37,5859.85,5860.04
1586,2024-10-15 14:00:00+00:00,5860.52,5865.3,5831.36,5838.3
1587,2024-10-15 15:00:00+00:00,5838.28,5846.51,5831.68,5832.46
1588,2024-10-15 16:00:00+00:00,5832.49,5843.82,5831.79,5836.28
1589,2024-10-15 17:00:00+00:00,5836.29,5838.04,5827.0,5828.28
1590,2024-10-15 18:00:00+00:00,5828.36,5832.61,5818.75,5819.25
1591,2024-10-15 19:00:00+00:00,5819.4,5820.28,5804.47,5817.86
1592,2024-10-15 20:00:00+00:00,5815.73,5815.73,5815.25,5815.25
1593,2024-10-16 13:00:00+00:00,5816.57,5817.93,5808.33,5809.06
1594,2024-10-16 14:00:00+00:00,5810.3,5830.02,5809.42,5819.27
1595,2024-10-16 15:00:00+00:00,5819.66,5827.68,5816.39,5820.89
1596,2024-10-16 16:00:00+00:00,5820.88,5832.55,5820.4,5832.23
1597,2024-10-16 17:00:00+00:00,5832.22,5835.32,5828.31,5835.01
1598,2024-10-16 18:00:00+00:00,5834.99,5846.51,5833.48,5842.63
1599,2024-10-16 19:00:00+00:00,5842.66,5844.97,5839.89,5842.32
1600,2024-10-16 20:00:00+00:00,5842.14,5842.48,5842.14,5842.48
1601,2024-10-17 13:00:00+00:00,5875.61,5878.47,5853.33,5858.47
1602,2024-10-17 14:00:00+00:00,5859.1,5862.57,5848.27,5849.75
1603,2024-10-17 15:00:00+00:00,5849.81,5866.43,5843.32,5866.33
1604,2024-10-17 16:00:00+00:00,5866.25,5868.84,5856.47,5862.5
