Date;open;high;low;close
7-3-22 18:00;4235.4;4247.66;4225.93;4232.42
7-3-22 19:00;4232.22;4243.73;4219.18;4222.44
7-3-22 20:00;4222.45;4224.96;4199.85;4201.57
7-3-22 21:00;4200.85;4201.09;4200.85;4201.09
8-3-22 14:00;4202.66;4215.93;4185;4192.97
8-3-22 15:00;4192.48;4199.15;4160.23;4197.65
8-3-22 16:00;4197.92;4201.85;4157.87;4183.77
8-3-22 17:00;4184.68;4260.67;4183.02;4257.28
8-3-22 18:00;4257.23;4276.94;4200.55;4201.03
8-3-22 19:00;4201.1;4232.08;4184.5;4220.51
8-3-22 20:00;4220.32;4239.2;4168.4;4170.74
8-3-22 21:00;4169.62;4170.71;4169.62;4170.7
9-3-22 14:00;4223.1;4261.06;4223.1;4245.96
9-3-22 15:00;4246.59;4273.74;4245.27;4271.06
9-3-22 16:00;4271.07;4279.49;4253.35;4278.56
9-3-22 17:00;4278.67;4291.57;4274.22;4288.4
9-3-22 18:00;4288.43;4288.43;4268.6;4272.22
9-3-22 19:00;4272.36;4285.38;4271.58;4278.54
9-3-22 20:00;4278.44;4299.4;4271.94;4277.55
9-3-22 21:00;4278.1;4278.1;4277.84;4277.88
10-3-22 14:00;4252.55;4253.94;4226.11;4250.5
10-3-22 15:00;4250.82;4256.59;4220.14;4222.51
10-3-22 16:00;4222.52;4224.19;4209.8;4223.78
10-3-22 17:00;4223.68;4235.73;4216.4;4218.85
10-3-22 18:00;4218.93;4242.54;4215.91;4239.32
10-3-22 19:00;4239.29;4264.51;4238.25;4260.64
10-3-22 20:00;4260.67;4268.28;4245.86;4259.19
10-3-22 21:00;4259.36;4259.53;4259.36;4259.52
11-3-22 14:00;4279.5;4291.01;4270.84;4274.69
11-3-22 15:00;4274.98;4274.98;4253.8;4273.79
11-3-22 16:00;4273.67;4273.79;4242.31;4247.67
11-3-22 17:00;4247.88;4251.67;4234.76;4244.12
11-3-22 18:00;4244.15;4258.61;4241.25;4241.33
11-3-22 19:00;4241.34;4251.86;4231;4235.15
11-3-22 20:00;4235.32;4235.56;4200.49;4203.91
11-3-22 21:00;4204.42;4204.44;4204.31;4204.31
14-3-22 13:00;4202.75;4220.31;4194.9;4216.25
14-3-22 14:00;4216.21;4245.93;4209.12;4245.93
14-3-22 15:00;4246.18;4247.57;4203.5;4207.67
14-3-22 16:00;4207.54;4207.54;4182.03;4182.03
14-3-22 17:00;4182.11;4183.3;4164.81;4170.02
14-3-22 18:00;4170.07;4175.32;4161.72;4173.78
14-3-22 19:00;4173.83;4184.09;4163.23;4172.27
14-3-22 20:00;4172.96;4173.13;4172.96;4173.11
15-3-22 13:00;4188.82;4214.05;4187.9;4205.79
15-3-22 14:00;4206.17;4230.7;4194.41;4220.58
15-3-22 15:00;4220.85;4244.95;4220.7;4228.65
15-3-22 16:00;4228.56;4246.74;4219.49;4238.44
15-3-22 17:00;4238.5;4243.94;4222.54;4235.28
15-3-22 18:00;4235.31;4250.04;4217.54;4249.68
15-3-22 19:00;4249.38;4271.05;4246.94;4262.66
15-3-22 20:00;4263.58;4263.58;4262.45;4262.45
16-3-22 13:00;4288.14;4330.65;4288.14;4322.15
16-3-22 14:00;4322.34;4347.06;4311.19;4336.77
16-3-22 15:00;4336.85;4338.31;4326.43;4333.58
16-3-22 16:00;4333.63;4338.93;4315.78;4319.83
16-3-22 17:00;4319.84;4321.84;4304.15;4316.21
16-3-22 18:00;4316.19;4316.64;4251.99;4303.27
16-3-22 19:00;4303.14;4358.45;4297.96;4358.36
16-3-22 20:00;4358.9;4358.9;4357.85;4357.86
17-3-22 13:00;4345.11;4365.4;4335.65;4365.21
17-3-22 14:00;4365.24;4371.97;4343.98;4350.96
17-3-22 15:00;4351.23;4367.67;4346.72;4364.55
17-3-22 16:00;4364.57;4381.76;4361.78;4380.65
17-3-22 17:00;4380.64;4402.02;4373.81;4398.18
17-3-22 18:00;4398.1;4400.09;4386.55;4397.43
17-3-22 19:00;4397.34;4410.46;4384.89;4410.36
17-3-22 20:00;4412.67;4412.67;4411.34;4411.67
18-3-22 13:00;4407.34;4408.19;4390.57;4407.41
18-3-22 14:00;4407.5;4424.35;4402.53;4411.64
18-3-22 15:00;4412.09;4425.24;4409.59;4416.75
18-3-22 16:00;4416.71;4433.97;4413.23;4431.93
18-3-22 17:00;4431.89;4440.61;4429.7;4437.4
18-3-22 18:00;4437.53;4443.58;4432.36;4442.87
18-3-22 19:00;4442.84;4465.4;4441.42;4462.85
18-3-22 20:00;4461.98;4463.55;4461.98;4463.12
21-3-22 13:00;4462.4;4481.75;4455.7;4456.34
21-3-22 14:00;4456.41;4467.35;4444.43;4465.63
21-3-22 15:00;4465.61;4474.27;4461.02;4471.43
21-3-22 16:00;4471.45;4475.22;4439.07;4440.58
21-3-22 17:00;4440.59;4442.49;4424.3;4441.81
21-3-22 18:00;4441.76;4456.13;4434.48;4435.74
21-3-22 19:00;4435.93;4461.56;4433.97;4461.46
21-3-22 20:00;4461.53;4461.53;4461.16;4461.18
22-3-22 13:00;4469.1;4491.55;4469.1;4488.97
22-3-22 14:00;4489.05;4510.62;4489.05;4505.31
22-3-22 15:00;4505.28;4513.8;4500.07;4504.5
22-3-22 16:00;4504.48;4508.49;4495.25;4507.58
22-3-22 17:00;4507.54;4513.05;4503.37;4512.18
22-3-22 18:00;4512.15;4512.87;4498.91;4507.64
22-3-22 19:00;4507.39;4522;4505.91;4512.56
22-3-22 20:00;4512.4;4512.4;4511.61;4511.61
23-3-22 13:00;4493.1;4493.1;4473.49;4477.53
23-3-22 14:00;4477.68;4496.24;4473.96;4488.23
23-3-22 15:00;4488.61;4498.01;4488.61;4494.48
23-3-22 16:00;4494.45;4501.07;4478.72;4485.05
23-3-22 17:00;4484.86;4485.58;4464.67;4474.14
23-3-22 18:00;4474.17;4479.44;4464.42;4470.4
23-3-22 19:00;4470.44;4475.8;4455.81;4456.18
23-3-22 20:00;4455.83;4456.24;4455.83;4456.24
24-3-22 13:00;4469.98;4479.2;4465.17;4472.77
24-3-22 14:00;4472.8;4485.66;4468.79;4479.75
24-3-22 15:00;4479.86;4505.48;4478.99;4500.93
24-3-22 16:00;4500.88;4501.72;4485.19;4494.23
24-3-22 17:00;4494.3;4501.73;4491.3;4498.83
24-3-22 18:00;4498.78;4504.7;4491.58;4498.75
24-3-22 19:00;4498.43;4520.58;4494.74;4520.02
24-3-22 20:00;4520.35;4520.35;4520.15;4520.16
25-3-22 13:00;4522.91;4532.43;4520.37;4525.13
25-3-22 14:00;4525.18;4546.03;4521.31;4539.81
25-3-22 15:00;4539.91;4541.13;4501.07;4509.18
25-3-22 16:00;4509.03;4520.62;4506.68;4516.46
25-3-22 17:00;4516.61;4530.47;4512.48;4529.75
25-3-22 18:00;4530.01;4537.91;4528.39;4535.47
25-3-22 19:00;4535.44;4543.94;4514.3;4543.05
25-3-22 20:00;4543.41;4543.41;4542.96;4543.06
28-3-22 13:00;4541.09;4552.75;4533.19;4552.22
28-3-22 14:00;4552.49;4552.71;4537.01;4549.41
28-3-22 15:00;4550.05;4550.92;4519.75;4521.21
28-3-22 16:00;4521.2;4533.71;4517.69;4533.05
28-3-22 17:00;4533.09;4541.7;4531.12;4541.06
28-3-22 18:00;4541.1;4560.75;4539.02;4560.71
28-3-22 19:00;4560.81;4575.65;4556.07;4575.45
28-3-22 20:00;4575.58;4575.58;4575.49;4575.52
29-3-22 13:00;4602.86;4627.63;4602.86;4609.81
29-3-22 14:00;4609.34;4613.09;4589.66;4609.05
29-3-22 15:00;4608.77;4615.72;4599.91;4610.61
29-3-22 16:00;4610.73;4611.35;4592.61;4599.69
29-3-22 17:00;4599.92;4612.31;4593.76;4612.26
29-3-22 18:00;4612.33;4624.73;4608.19;4622.83
29-3-22 19:00;4622.82;4637.3;4620.73;4631.65
29-3-22 20:00;4632.14;4632.14;4631.6;4631.6
30-3-22 13:00;4624.2;4625.51;4614.44;4625.08
30-3-22 14:00;4625.04;4627.77;4614.05;4614.28
30-3-22 15:00;4614.34;4616.21;4603.15;4612.36
30-3-22 16:00;4612.41;4617.01;4607.5;4615.62
30-3-22 17:00;4615.61;4615.81;4601.71;4602.64
30-3-22 18:00;4602.61;4608.97;4594.5;4594.99
30-3-22 19:00;4595.06;4602.66;4581.32;4602.66
30-3-22 20:00;4603.02;4603.02;4602.44;4602.45
31-3-22 13:00;4599.02;4599.02;4587.44;4595.06
31-3-22 14:00;4595.15;4603.07;4581.93;4601.18
31-3-22 15:00;4600.6;4601.83;4589.33;4594.82
31-3-22 16:00;4594.92;4596.74;4582.18;4582.43
31-3-22 17:00;4582.75;4590.38;4578.5;4585.57
31-3-22 18:00;4585.55;4585.59;4574.48;4581.64
31-3-22 19:00;4582.04;4589.18;4532.28;4532.3
31-3-22 20:00;4531.47;4532.39;4530.41;4530.41
1-4-22 13:00;4540.32;4548.7;4532.23;4537.52
1-4-22 14:00;4537.96;4543.47;4524.52;4535.94
1-4-22 15:00;4536.01;4539.96;4517.58;4519.17
1-4-22 16:00;4518.73;4520.38;4509.66;4515.19
1-4-22 17:00;4515.06;4524.18;4507.57;4521.53
1-4-22 18:00;4521.46;4542.87;4520.91;4534
1-4-22 19:00;4533.65;4547.56;4519.64;4544.79
1-4-22 20:00;4545.74;4545.86;4545.68;4545.86
4-4-22 13:00;4547.97;4562.63;4539.21;4561.49
4-4-22 14:00;4561.71;4565.4;4551.73;4560.67
4-4-22 15:00;4560.9;4573.23;4560.02;4571.55
4-4-22 16:00;4571.59;4573.09;4565.33;4565.67
4-4-22 17:00;4565.64;4573.63;4563.27;4573.26
4-4-22 18:00;4573.21;4578.41;4566.56;4576.73
4-4-22 19:00;4576.83;4583.5;4573.88;4582.84
4-4-22 20:00;4583.04;4583.04;4582.62;4582.64
5-4-22 13:00;4572.45;4587.36;4567.56;4585.25
5-4-22 14:00;4585.24;4593.45;4553.91;4566.04
5-4-22 15:00;4566.2;4567.84;4550.27;4550.27
5-4-22 16:00;4550.21;4553.99;4542.03;4550.84
5-4-22 17:00;4550.77;4561.51;4540.99;4545.26
5-4-22 18:00;4545.29;4549.5;4539.63;4540.24
5-4-22 19:00;4540.22;4542.53;4514.17;4526.45
5-4-22 20:00;4525.76;4525.76;4525.11;4525.12
6-4-22 13:00;4494.17;4494.17;4469.5;4470.51
6-4-22 14:00;4470.38;4472.94;4460;4464.94
6-4-22 15:00;4464.84;4478.61;4461.87;4473.44
6-4-22 16:00;4473.54;4475.26;4461.29;4467.45
6-4-22 17:00;4467.47;4483.56;4464.29;4476.14
6-4-22 18:00;4476.05;4498.45;4450.04;4494.55
6-4-22 19:00;4494.63;4503.94;4468.64;4480.61
6-4-22 20:00;4480.55;4481.38;4480.55;4481.15
7-4-22 13:00;4474.65;4491.58;4469.32;4484.64
7-4-22 14:00;4485.39;4491.37;4459.63;4466.94
7-4-22 15:00;4466.96;4474.93;4453.74;4457.82
7-4-22 16:00;4457.7;4465.51;4450.3;4457.07
7-4-22 17:00;4457.05;4490.55;4456.37;4490.03
7-4-22 18:00;4489.75;4508.35;4483.94;4507.78
7-4-22 19:00;4507.37;4521.16;4498.84;4499.49
7-4-22 20:00;4500.54;4500.54;4500.18;4500.21
8-4-22 13:00;4494.15;4496.36;4474.76;4476.48
8-4-22 14:00;4475.71;4512.08;4474.6;4512.08
8-4-22 15:00;4512.05;4516.96;4503.78;4510.96
8-4-22 16:00;4510.78;4520.41;4506.54;4516.48
8-4-22 17:00;4516.32;4516.55;4500.66;4503.51
8-4-22 18:00;4503.46;4507.7;4491.4;4500.54
8-4-22 19:00;4500.28;4507.57;4481.8;4489.24
8-4-22 20:00;4489.75;4489.75;4488.28;4488.28
11-4-22 13:00;4462.64;4464.35;4444.47;4455.37
11-4-22 14:00;4455.2;4458.46;4434.28;4437.37
11-4-22 15:00;4437.39;4441.33;4430.43;4436.03
11-4-22 16:00;4436.04;4437.07;4428.55;4432.65
11-4-22 17:00;4432.73;4439.76;4429.2;4436.2
11-4-22 18:00;4436.13;4442.07;4426.74;4438.71
