Data,Open, High,Low,Close,Volume
2025-01-15 19:00:00,5921.3,5941.2,5920.0,5931.5,3197
2025-01-15 20:00:00,5931.8,5949.0,5931.5,5947.4,2182
2025-01-15 21:00:00,5947.2,5958.7,5945.9,5955.4,1790
2025-01-15 22:00:00,5955.7,5960.9,5947.5,5948.5,2259
2025-01-15 23:00:00,5948.0,5951.1,5944.8,5946.8,526
2025-01-16 01:00:00,5948.4,5955.6,5946.9,5954.6,536
2025-01-16 02:00:00,5954.7,5962.2,5953.5,5957.8,680
2025-01-16 03:00:00,5957.5,5957.5,5951.2,5951.9,696
2025-01-16 04:00:00,5951.7,5952.8,5948.6,5951.8,627
2025-01-16 05:00:00,5951.5,5955.3,5950.5,5952.1,436
2025-01-16 06:00:00,5951.8,5953.3,5950.1,5951.1,356
2025-01-16 07:00:00,5951.3,5951.3,5943.6,5946.1,695
2025-01-16 08:00:00,5946.3,5960.4,5944.1,5957.4,1347
2025-01-16 09:00:00,5957.1,5977.4,5955.4,5976.4,1584
2025-01-16 10:00:00,5976.5,5977.6,5967.4,5968.1,2330
2025-01-16 11:00:00,5967.9,5970.6,5957.3,5962.2,2036
2025-01-16 12:00:00,5961.9,5970.2,5955.6,5967.1,1273
2025-01-16 13:00:00,5967.4,5968.9,5961.9,5966.9,1260
2025-01-16 14:00:00,5967.4,5967.4,5949.4,5950.9,1570
2025-01-16 15:00:00,5951.0,5957.9,5947.0,5956.6,2641
2025-01-16 16:00:00,5956.1,5963.4,5941.0,5942.2,4413
2025-01-16 17:00:00,5942.0,5955.1,5933.5,5955.0,6569
2025-01-16 18:00:00,5954.7,5964.2,5938.9,5955.9,5158
2025-01-16 19:00:00,5955.6,5959.1,5948.6,5950.5,3591
2025-01-16 20:00:00,5950.2,5956.2,5929.9,5934.4,3733
2025-01-16 21:00:00,5934.6,5952.1,5930.9,5950.5,2845
2025-01-16 22:00:00,5950.0,5954.6,5935.2,5937.4,3596
2025-01-16 23:00:00,5937.2,5937.3,5924.3,5930.2,890
2025-01-17 01:00:00,5931.1,5938.3,5929.7,5938.1,860
2025-01-17 02:00:00,5937.8,5939.1,5935.7,5938.8,695
2025-01-17 03:00:00,5938.9,5947.5,5938.6,5945.5,668
2025-01-17 04:00:00,5945.7,5949.0,5941.5,5942.7,744
2025-01-17 05:00:00,5942.8,5948.3,5940.7,5948.1,543
2025-01-17 06:00:00,5947.9,5953.0,5947.7,5949.5,555
2025-01-17 07:00:00,5949.8,5952.8,5948.2,5950.0,672
2025-01-17 08:00:00,5950.1,5951.2,5946.4,5948.2,688
2025-01-17 09:00:00,5948.7,5949.0,5941.1,5947.3,1068
2025-01-17 10:00:00,5947.4,5955.1,5946.4,5954.1,1679
2025-01-17 11:00:00,5953.9,5962.5,5953.1,5958.7,1329
2025-01-17 12:00:00,5958.8,5961.8,5955.6,5958.2,1254
2025-01-17 13:00:00,5958.3,5964.2,5956.1,5957.4,1178
2025-01-17 14:00:00,5957.1,5962.4,5953.6,5960.1,1518
2025-01-17 15:00:00,5959.9,5984.6,5959.9,5982.8,2344
2025-01-17 16:00:00,5983.1,5999.1,5976.9,5984.4,5631
2025-01-17 17:00:00,5984.2,6003.0,5981.5,6002.7,4774
2025-01-17 18:00:00,6002.5,6012.5,5998.7,6004.2,2731
2025-01-17 19:00:00,6003.4,6012.5,5999.3,6010.3,1976
2025-01-17 20:00:00,6010.2,6015.2,6003.4,6007.1,1994
2025-01-17 21:00:00,6006.8,6009.0,6001.0,6003.3,2250
2025-01-17 22:00:00,6002.8,6006.7,5994.3,5996.6,3214
